Brand name,Year of Establishment,Brand Origin,Model,Customer Name,Customer Address,Date of Sell,Postcode,Contact,Phone Number,Spec_1,Spec_2,Price
Graham-Rubio,2012,Lithuania,Catherine Kim,David Hobbs,"172 Howard Port
New Kevinfort, VI 40034",2013-02-28,45213,dawn10@example.net,001-753-169-8997x9242,Spec_0 : BedaOypCuM,Spec_1 : qQQKzUurRP,7882128
Clark-Pruitt,1914,South Africa,David Lucas,Derek Boyd,"65805 Danny Point Suite 269
Teresaberg, OK 39213",2015-01-14,34426,john89@example.com,001-433-781-5432x25959,Spec_0 : VGvOuvgHkX,Spec_1 : tAWMvLKJST,8437968
"Reynolds, Blankenship and Williams",1937,Nigeria,Rachel Marsh,Laura Stout,"59934 Adam Trace
Houstonville, MD 58237",2005-09-30,83544,brucegraves@example.com,+1-342-207-2376x8840,Spec_0 : nxMMxCOWRY,Spec_1 : BOvNXbpanl,5571034
"Bennett, Gonzalez and Franklin",1920,China,Michael Maddox,Brett Hardy,"52664 Angel Bypass Suite 244
Lake Matthew, ME 94294",2009-09-23,72258,david45@example.org,(846)818-9708x736,Spec_0 : wvjdBXyoZf,Spec_1 : OiJiqsYEvC,5000087
"Evans, Mcconnell and Johns",1902,Monaco,Ryan Cochran,Lindsey Palmer,"667 Susan Mount Apt. 301
North Alison, OR 36960",2007-08-15,23800,walkerjason@example.com,248-744-7808,Spec_0 : NtbqwreQxr,Spec_1 : bMFkmuKfTj,4290790
Rodriguez-Estrada,1942,Sri Lanka,Shawn Foster,Toni Stewart,"10905 Deanna Points Apt. 788
Joshuaview, NV 79185",2012-09-09,71297,jessicarivera@example.com,083-236-2931,Spec_0 : pORcUXapNZ,Spec_1 : oVzhBgwfiK,4908874
King-Mendoza,1991,Montenegro,Thomas Andrews,Melissa Rose,"76523 Edwards Lock
Port Maryhaven, TN 02404",2010-04-07,52400,nhaley@example.net,691.586.5726x32002,Spec_0 : JHxhsvalAj,Spec_1 : AFnOzGnWVV,4033974
King-Rodriguez,1929,Philippines,Darren Snyder,Robert Walker,"03367 Tiffany Tunnel Apt. 089
Nicholasville, WI 88557",2010-07-21,97499,christinafranklin@example.net,+1-966-597-7064x6784,Spec_0 : rCxeOtAQVU,Spec_1 : qNpddlfiva,6840173
Barnes-Andersen,1993,Dominica,Timothy Cherry,Jason Todd,"PSC 2034, Box 1854
APO AE 96575",2006-02-21,85409,sharivasquez@example.org,976-861-9655x4648,Spec_0 : GdXCsduyAB,Spec_1 : EDBWtNSErP,2442175
Pham-Park,1987,Central African Republic,Tasha Grant,Brandon Henderson,"8377 Sergio Plains Suite 588
Katherinechester, MD 89188",2018-05-01,93630,jacksonjacob@example.org,(012)187-2770x3161,Spec_0 : tMxXnNdGDZ,Spec_1 : AmajYAViQg,5866595
Peterson Ltd,1914,Slovakia (Slovak Republic),Denise Miller,Tamara Parsons,"31407 Davis Walks
Lake Williamhaven, NY 18030",2012-06-30,08896,sweeneymaurice@example.net,+1-482-659-3213x05833,Spec_0 : TXnGRDPeqF,Spec_1 : xGWwTwzYsm,9874388
"Lee, Michael and Edwards",2018,Panama,Miranda Coffey,Craig Proctor,"7686 Chen Shores
East Kristen, MS 63192",2018-05-13,19975,rkelley@example.net,(162)647-1642,Spec_0 : KcLYhMyPuf,Spec_1 : PdmNjzzTzY,6610802
Harris LLC,1927,Malawi,Carolyn Ramirez,Gloria Farmer,"9587 Bauer Course Apt. 339
Hollyfurt, ME 73248",2007-12-13,71162,fernandezjohn@example.org,718-499-7327x8944,Spec_0 : yhuOmBNSkV,Spec_1 : aUQGZzSdRc,6201104
Spencer-Simpson,1982,Korea,Mary Cross,Barry Flowers,"7817 Thomas Haven Suite 521
Millershire, AR 13785",2009-07-05,93784,montoyakrystal@example.org,+1-373-947-9699x45575,Spec_0 : qGimegAQWb,Spec_1 : KJKTJOpCio,8867903
"Armstrong, Mills and Peterson",1999,Russian Federation,Daniel Mitchell,April Walton,"Unit 4769 Box 4193
DPO AA 60553",2023-12-29,55990,wardjames@example.net,367-954-2634,Spec_0 : owXOXjXhBa,Spec_1 : QCKBmNNTdZ,3849724
"Riddle, Huber and Johnson",1904,Tuvalu,Marcus Williams,Brenda Martin,"7559 Robinson Ports
West Johnnystad, NV 14660",2012-01-24,79666,kenneth49@example.org,001-701-574-7869,Spec_0 : AgQRghDshc,Spec_1 : UAwQHvVYhK,3935464
"Smith, Bowman and Carroll",1919,Indonesia,Michael Martinez,Lisa Mccoy,"98336 Holly Green
Mirandaland, NE 22992",2009-11-07,64941,stuartrichard@example.net,+1-491-626-8650x3465,Spec_0 : yexONQskhw,Spec_1 : mjbUBnyyRo,5130011
Reynolds-Owens,1924,Serbia,Travis Wilson,Latoya Walker,"9288 Ortiz Manor
South Frances, VI 58245",2018-05-08,72845,terri74@example.net,+1-980-526-8844x38895,Spec_0 : ZHUPNMkfOZ,Spec_1 : kYtPAiCrrT,6055938
Bright-Klein,1967,Canada,Alisha Steele,Connie Baker,"7538 Christina Union
South Charles, MA 28690",2019-09-14,70954,keithcoffey@example.com,085.289.2077x16395,Spec_0 : fnQMjbWhEy,Spec_1 : EvJvEKArBL,4757094
Lutz Inc,1914,Nicaragua,Amber Daniels,James Smith,"18250 Robert Viaduct
New Paula, PR 31476",2019-07-17,53506,zwilliams@example.com,(589)179-2057x089,Spec_0 : YsiwsmWEgY,Spec_1 : hLKYQCbZue,6853396
"Clarke, Garcia and Young",1968,Taiwan,Gina Garcia,Amanda Lewis,"Unit 0330 Box 2047
DPO AP 95428",2007-12-26,30184,noah51@example.net,+1-601-863-5482x792,Spec_0 : PmWgVHvAqh,Spec_1 : SwSoBvrzIf,1138319
Wilson-Davis,1935,Azerbaijan,Dale Dixon,Kristin Davis,"61245 Christina Tunnel
Barryville, MS 62959",2015-02-06,58980,kbennett@example.com,(370)835-8262x14287,Spec_0 : oeClqIerrw,Spec_1 : DTQiAILQRx,9855962
"Davis, Acevedo and Kelley",1982,Faroe Islands,Jessica Holmes,Justin Shaw,"575 David Road Suite 578
Blackport, AR 10555",2010-03-09,36551,alvaradostephen@example.org,568-063-0528x552,Spec_0 : XjCWckufme,Spec_1 : VPBgjOjlxl,5809203
Cole-Schmidt,1905,French Southern Territories,Raymond Preston,Jacqueline Stevens,"544 Laura Springs
North Michael, MP 38526",2016-03-23,52017,smithkenneth@example.com,001-868-077-2649x38230,Spec_0 : eIVTZBRWob,Spec_1 : hninyGCVyU,2386986
Benitez PLC,2006,Afghanistan,Amanda Hunt,Mrs. Kelly Snow,"400 John Path
West Troy, NH 95403",2009-06-28,24301,amyvalentine@example.net,001-181-218-4469x61726,Spec_0 : jqBXkmglJa,Spec_1 : vRszAJPnJx,2436780
"Gentry, Hale and Frey",1937,Turks and Caicos Islands,Stephanie Banks,Cynthia Miller MD,"2257 Dudley Circles
Josephbury, NC 52070",2019-07-28,91278,carrie39@example.org,277-769-2794x07913,Spec_0 : qSDHrQskTu,Spec_1 : ezbYxTMNgC,9002043
"King, Marks and Jenkins",1986,Kiribati,Alec Roberts,Ryan Chandler,"5752 Matthew Parkway
Allenport, ND 71240",2005-10-12,09148,frazierrachel@example.net,+1-477-979-3103x7662,Spec_0 : bPeMbTwDoA,Spec_1 : gfQvWYhzVY,9268358
"Johnston, Moore and Hill",1910,Greece,Steven Ayala,Angela Smith,"6986 Oneal Mills Apt. 590
New Matthewside, GA 98149",2012-03-16,78563,cesar55@example.com,+1-515-483-2511x58907,Spec_0 : SrEluvapvJ,Spec_1 : EglxeHVzLP,1626663
"Hahn, Brooks and Wheeler",1920,Gambia,Jacob Cooper,Brianna Lamb,"1140 Ryan Common Suite 764
New Mark, AZ 64439",2005-10-02,20187,wallscraig@example.org,822.482.8866,Spec_0 : VsPadeOFOX,Spec_1 : ytFyAaKABd,1406932
"Barnes, Owens and Ray",1981,Puerto Rico,Julie Stewart,Juan Lucero,"1381 Ruiz Lodge Apt. 712
New Toddport, AR 10483",2009-04-13,46377,csmith@example.net,(125)628-5812x98598,Spec_0 : VFRnNWafzu,Spec_1 : CrbgZUItVt,3498289
Glenn-Anderson,1993,Svalbard & Jan Mayen Islands,Christine Lara,Phillip Perez,"4952 Lori Meadows Suite 495
New Veronica, MP 39585",2006-01-10,19581,egibson@example.net,001-924-005-3634,Spec_0 : KQetuzTWIp,Spec_1 : kiMvpVyCzO,3152791
Gibson PLC,2003,Singapore,Victoria Alvarez,Chris Hill,"9495 Lee Streets
Curtismouth, AR 01055",2021-11-17,57824,jbaker@example.com,486-340-5360,Spec_0 : YQTetXRMkJ,Spec_1 : xBpCymLdXf,7882602
Burch-Davis,1966,Norway,Amy Scott,Nancy Hughes,"18881 Zamora Islands Suite 284
Bakermouth, NM 00542",2011-10-17,94411,erik83@example.org,803.167.9455,Spec_0 : aHyhnoOaNO,Spec_1 : nmQcWzxAGA,3670360
Briggs and Sons,1961,Guinea,Jorge Martin,Sandra Kelley,"4089 Jason Key
East Jessicaport, NC 11295",2009-09-19,23056,washingtonmichael@example.com,360-072-8430x891,Spec_0 : OeVZoCsvYO,Spec_1 : QJHWlvHnHu,6225454
"Scott, Dunlap and Brown",2007,Philippines,Jessica Short,Ann Miller,"294 Lara Isle
Jillianborough, GA 26603",2018-07-02,24275,gateskathleen@example.com,6768521271,Spec_0 : VmanrJsmSf,Spec_1 : srFKStyipw,7416736
"Barker, Jacobs and Lopez",1927,Congo,Corey Pearson,Cody Hampton,"5315 Derek Glens
Piercemouth, DE 83361",2003-04-25,59499,edawson@example.com,598-781-1529,Spec_0 : ZmyViwdCST,Spec_1 : GJXPujBPKF,6165898
Gilbert-Barker,1978,Zambia,Andrea Sandoval,Ashley Davidson,"90456 Crawford Throughway
Emilyport, PR 23594",2023-05-16,11683,moorebetty@example.com,001-527-730-7280x3873,Spec_0 : GReHwdPdiA,Spec_1 : exydvXRUOJ,1991187
"Johns, Parker and Hayden",1921,Brunei Darussalam,Richard Banks,Jordan Watkins,"08905 Sonya Junction Apt. 257
New Joan, OK 11659",2005-03-03,75011,stephanie69@example.com,(725)510-1637x591,Spec_0 : bsNloHQytG,Spec_1 : TfrjTJvQlO,5561014
"Warner, Taylor and Ferguson",1919,Guadeloupe,Douglas Reed,Cory Adams,"5857 Stacy Stream
Dantown, CA 40549",2005-01-11,12786,joycegarcia@example.com,001-224-023-0229x0538,Spec_0 : LIxNgymvZX,Spec_1 : QnegCwUubq,6360968
Callahan-Wang,1981,French Guiana,Juan Vaughan,Calvin Bell,"4841 Cesar Courts Apt. 426
Matthewsview, GA 08861",2005-08-02,21188,haley68@example.org,+1-881-010-4857,Spec_0 : MDtGwuUcij,Spec_1 : sDCNelUXxE,3421457
"Hernandez, Hull and Flores",1931,Marshall Islands,Denise Charles,Kristie Alexander,"138 Tammy Hollow Suite 701
Port Adrienne, IN 46341",2022-02-06,23523,jeffrey08@example.com,+1-238-949-6502x824,Spec_0 : ZrrYNxpWMR,Spec_1 : RLIXtSpdHn,9389915
"Lopez, Owens and Smith",1953,Malta,Emily Nicholson,Megan Williams,"702 Brock Village
Jennafurt, CO 09688",2021-08-28,45839,bmcdonald@example.net,(515)120-0426x382,Spec_0 : jExQPLqhIw,Spec_1 : JrkQmaHAIe,5142821
"Williams, Davis and Walter",1902,Gibraltar,Cathy Knight,Justin Greene,"3104 Robert Center
Danielfort, PW 22980",2020-06-09,15418,amiller@example.com,+1-448-131-0376x2599,Spec_0 : bdHyXYDSMo,Spec_1 : ruDEDDsNkA,6512060
Weeks-Carney,2007,Netherlands,Karen Bowers,Debra Medina,"USNS Friedman
FPO AE 21842",2004-01-16,48215,vhubbard@example.org,+1-899-813-5930x26391,Spec_0 : UkmNjdkbDt,Spec_1 : EjAtbmmMDT,9379344
Payne-Fowler,1964,Marshall Islands,Austin Burton,James Lopez,"610 Miranda Ranch
Stephanieburgh, ID 08362",2002-08-19,33366,sbarr@example.com,001-844-670-1905x2229,Spec_0 : EADBHibikZ,Spec_1 : MqJViVyhfM,6850583
Evans LLC,1908,Serbia,Allison Munoz,Randy Barton,"3912 Anthony Coves
East Terrance, MH 08994",2022-06-11,79375,oneillholly@example.org,001-596-515-5717x9704,Spec_0 : CAbJIeXsQZ,Spec_1 : kmBVYjwnVj,5511314
Long Ltd,1905,Estonia,Erica Brown,Katelyn Park,"3590 Caitlin Landing Suite 757
Fischerton, WA 15332",2007-07-15,96036,edwardskaren@example.com,362-022-1056x473,Spec_0 : PWMxdxFUeQ,Spec_1 : bTmCPPVdEj,6014596
Schwartz LLC,1930,Cameroon,Charles May,Crystal Andrews,"746 Jacob Park
Abbottstad, IA 10962",2002-03-08,65213,brandon94@example.org,+1-150-658-3442x2711,Spec_0 : GxfpVdJbhd,Spec_1 : UGUhVyJSKj,9276420
"Suarez, Martin and Flores",1925,Andorra,Rebecca Johnson,Teresa Cochran,"53380 James Dale
South Dawnborough, MI 42089",2018-01-22,86964,melissa50@example.net,696.181.9896x8885,Spec_0 : aSFAwglXSY,Spec_1 : zIPUtYmOUV,3995883
Miller-Evans,2015,New Zealand,Tiffany Pittman,Jeffrey Underwood,"11505 Francis Dale
West Jacobport, WA 68067",2021-07-10,67949,opreston@example.com,686-045-5424x568,Spec_0 : rZGLExCBAz,Spec_1 : wGvpnJcybf,3479721
Zavala and Sons,1942,Mexico,Alex Atkins,Joseph Fisher,"5904 Farmer Village Suite 694
South Christopherhaven, ME 13735",2008-06-25,24408,briannorton@example.com,726-423-3714x187,Spec_0 : fdzpDtzruy,Spec_1 : mUFtfeWgYv,7203889
Everett-Peck,2004,Sierra Leone,Savannah Ferguson,Michelle Espinoza,"13811 Denise Creek
Torresborough, AS 89464",2022-03-01,43416,nicolebauer@example.com,(845)461-9501,Spec_0 : ZbGcJRoNhC,Spec_1 : ZGpgKKXfhW,1663998
"Davis, Rodriguez and Ponce",1917,Gambia,Amber Flores,Michelle Hernandez,"878 Robertson Parkways Suite 519
Rogershaven, FM 60409",2002-07-17,07315,ssmall@example.com,+1-639-790-5124x45040,Spec_0 : HvfoHubazG,Spec_1 : veTlpYwzYO,9859250
James-Thompson,1932,Venezuela,Ray Yates,William Farley,"44624 Coleman Track
Micheleberg, MI 36702",2023-02-18,91232,foxcrystal@example.com,294-426-4997x3990,Spec_0 : iceGZSGKgX,Spec_1 : kODnoRHFuk,5971292
"Johnston, Small and Dawson",1923,Cote d'Ivoire,Kendra Mayer,Joshua Cole,"39434 Alexander Curve Suite 459
Washingtonton, OK 25415",2013-09-27,19221,sergio55@example.org,+1-889-730-2914,Spec_0 : NynQmTSMnb,Spec_1 : NdxLquRhoX,4778595
"Stark, Perry and Washington",1985,Kiribati,Mrs. Angel Richards,Kristin Nguyen,"27767 Thomas Junctions Apt. 988
Debramouth, SD 32515",2014-02-08,07274,april34@example.com,001-114-312-6486x040,Spec_0 : NghONOqinT,Spec_1 : bEZtRJgdhA,9257122
"Brown, Douglas and Reynolds",2000,Norfolk Island,Scott Lawrence,Katherine Fuentes,"57841 Billy Garden Apt. 078
Lake Ashley, PW 55466",2020-04-29,04144,fperez@example.com,389.039.2029x732,Spec_0 : VCNpEAjRAl,Spec_1 : SPetABhaDm,7907483
"Melendez, Mullins and Olson",2011,Romania,Tonya Richards,Carrie Davis,"80526 Oconnor Dale Suite 100
Smithtown, ND 62758",2006-08-30,00822,bradleybeck@example.net,(682)874-7009x3145,Spec_0 : XACXXfiTRL,Spec_1 : vvTzbgwqeL,7450072
"Collins, Rodriguez and Henderson",1971,Guyana,Daniel Mercado,Robert Hammond,"Unit 0385 Box 9546
DPO AA 05520",2005-10-13,95992,thomasgould@example.org,(431)071-9438x456,Spec_0 : NgPbjHnhPy,Spec_1 : RmYUbmFByV,4336827
Herrera-Jefferson,1925,Niue,Ann Johnson,Troy Fuller,"8179 Moore Groves Suite 795
Thomasfurt, MA 26827",2002-05-20,38789,shampton@example.net,9558298759,Spec_0 : hvERemuWRr,Spec_1 : eXDeTnjwyr,2232859
"Kim, Richardson and Gross",1960,Russian Federation,Ashley Koch,Christopher Gill,"7900 Jeffrey Rue Suite 617
Justinmouth, VT 33696",2018-06-22,14310,marywatson@example.com,210-932-7135x0244,Spec_0 : cABLVPsKEu,Spec_1 : QKVedTtSOj,1295968
Howard-Owens,2005,China,Lawrence Smith,Dorothy Greer,"0015 Keith Rue Apt. 394
West Gregoryburgh, PW 62990",2013-02-08,17356,carly45@example.net,588.412.3785x84736,Spec_0 : LDAyamrXHs,Spec_1 : lWbzhkzDes,8243118
Fisher PLC,1947,Guernsey,Jasmine Fitzgerald,Michelle Knight,"8686 Stevens Fork Apt. 491
West Kathleenfort, CO 05790",2021-09-17,39915,kathrynhubbard@example.net,(780)959-7775,Spec_0 : nUpEJbjWtN,Spec_1 : bHFDOZkOzC,4568806
Wilson-Mcdonald,1951,Pitcairn Islands,Angela Dougherty,John Valencia,"019 Friedman Crossing Suite 046
Chadland, AS 53005",2011-06-16,14304,wadeerika@example.com,001-717-691-7930x31925,Spec_0 : IzkaKIGEIp,Spec_1 : zKQDsWBumq,6159701
Edwards-Hill,2001,Jersey,Brittany Burke,Andrea Villa,"Unit 7700 Box 9793
DPO AP 01323",2006-07-21,88598,danielle57@example.net,3058431175,Spec_0 : XSCkbyFAba,Spec_1 : TSbSBytnqF,8126234
Brewer Group,1928,Antarctica (the territory South of 60 deg S),Vanessa Lopez DDS,Vanessa Greene,"0183 Mitchell Walk Apt. 922
New Alexanderfort, FL 04724",2003-09-02,00800,jesse54@example.net,926-389-4711,Spec_0 : cyAWDwMyPt,Spec_1 : smssDZHthj,7508894
Johnson-Suarez,1910,Nicaragua,Shane Maldonado,Wendy Hess,"27709 David Terrace
North Frank, DE 23650",2023-07-11,33566,billy09@example.com,235.422.1468x299,Spec_0 : gwmAZkPPUS,Spec_1 : XYwKyUQoXE,3977536
Pineda-Miranda,1929,Syrian Arab Republic,Anthony Carey,Nicholas Morales,"054 Mcpherson Circle
Laurahaven, WI 80091",2021-02-16,95284,anthony19@example.com,921.358.3815x51200,Spec_0 : HBJzuDAOCD,Spec_1 : YKpeZAGuqN,8080645
"Mclaughlin, Ortega and Johnson",2014,United Arab Emirates,Ashley Hall,Jorge Smith,"242 Felicia Plains Suite 266
Jeffreyland, MI 85402",2020-07-04,51720,wellsbrandon@example.net,(302)058-0176x65666,Spec_0 : AmLMQWijna,Spec_1 : KLhrKuIWjy,9310557
Weeks-Oconnell,1915,China,Lauren Garrison,Marcia Allen,"USCGC Mosley
FPO AE 58594",2012-09-17,40367,jamesgrace@example.net,028-403-7756x69791,Spec_0 : ruDtYcfcAy,Spec_1 : lGhpiGewBr,2106276
Barron-Erickson,1984,Singapore,Amber Sellers,John Stein,"USS Barker
FPO AP 70049",2005-05-11,29541,timothy07@example.org,+1-376-185-8358x3576,Spec_0 : OdjCRGYznp,Spec_1 : GigEeNBPag,5013906
"Marsh, Greene and Holloway",1930,Tajikistan,Emily Soto,Ashley Powers,"PSC 8926, Box 8272
APO AA 73847",2009-04-18,15928,warrenchelsea@example.com,(182)020-5585x7548,Spec_0 : haFauxsHSx,Spec_1 : xReVtiyytL,4895885
"Mccoy, King and Brown",2020,French Polynesia,Jennifer Peterson,Deborah Trujillo,"740 Kimberly Ways
Port Aprilfort, NH 75093",2021-10-14,73383,jwells@example.org,001-593-348-7169,Spec_0 : ESkUkEZvXG,Spec_1 : MkJgvxffXr,7814541
Jones-Cline,1925,Taiwan,Walter Walker,Tammy Morris,"30588 Yvette Spurs
Marctown, IN 56818",2003-05-22,02137,sandra09@example.org,994.470.6394,Spec_0 : wcjelQGibY,Spec_1 : clMcpRCfop,3151759
Rios-Davenport,1907,Saint Barthelemy,Charlotte Rodriguez,Jessica Wells,"Unit 7002 Box 2446
DPO AP 40462",2002-03-19,42730,nking@example.org,556-530-2768,Spec_0 : EeuIoDaodv,Spec_1 : gQIHfZKyeE,9950095
Simon-Houston,1942,South Georgia and the South Sandwich Islands,Glenn Mitchell,Anthony Jacobs,"996 Powell Hollow
Jonesfurt, PA 50628",2003-03-16,64411,wilkinsonbrian@example.org,812-484-9263x5841,Spec_0 : ohkgiuHsRy,Spec_1 : sfxlsnEfjq,9706143
Collins Ltd,1934,Anguilla,Claudia Allen,Patrick Conner,"Unit 3579 Box 1919
DPO AA 43715",2012-09-13,65002,amy27@example.net,783.469.1622x151,Spec_0 : jajxDPVulp,Spec_1 : urtLwROLkf,2648884
Choi LLC,1949,Andorra,Deanna Holt,Sherry Vega,"70715 Morgan Turnpike
Tiffanychester, MP 07499",2011-07-16,39014,andrew55@example.org,9552907084,Spec_0 : ZNmcFsObgP,Spec_1 : rMvDQBYgyK,1772294
Bailey Inc,1985,Palestinian Territory,Julie Bennett,Richard Wilson,"720 Rogers Mountain Suite 894
New Aaronshire, NV 72813",2020-09-11,51989,hmiller@example.com,001-322-896-0355,Spec_0 : NiWuXkVPtr,Spec_1 : comqWFqUEM,2558269
"Haney, Johnson and Johnson",1929,Korea,Lindsey Mendoza,April Sanchez,"04630 Jones Overpass Apt. 795
West Jessica, KY 35904",2019-06-16,38051,samuel80@example.org,594.879.5028,Spec_0 : ubMRpZtnBt,Spec_1 : NWmvXcolof,5873560
Gallagher-Rogers,2004,American Samoa,Frank Lewis,Meghan Castillo,"6496 Alexandria Port Apt. 492
West Monicaville, GA 95709",2017-08-12,80605,candace68@example.com,(769)995-1657x3536,Spec_0 : WoxwqbzpGf,Spec_1 : lbgqXvcLkI,7404400
"Pollard, Jackson and Meadows",2011,Jamaica,Courtney Davidson,Ronald Pollard,"0763 Dana Branch
Wilsonburgh, MN 04864",2007-12-05,86565,brent63@example.org,001-611-835-7973x53478,Spec_0 : HXhhQyLwvC,Spec_1 : dJKFVslbrC,6705221
Pennington-Jones,1966,Isle of Man,Juan Gonzales,Lonnie Saunders,"034 Natalie Row Apt. 577
Elizabethville, LA 09963",2022-12-17,03266,brandysolis@example.net,068.809.4591x1598,Spec_0 : VfRulybLxM,Spec_1 : bgTJbStIZc,7491348
"Le, Lindsey and Taylor",1924,Cape Verde,Lisa Hodge,Jon Briggs,"2653 Alex Hills Apt. 630
New Cynthia, IA 80402",2011-11-05,63985,timothy97@example.org,(840)892-6404,Spec_0 : AGVNTLvSQh,Spec_1 : rkKktVFpMP,3720451
Klein Ltd,2012,Cote d'Ivoire,Ashlee Hill,Joseph Brennan,"511 Frye Square
South Kellybury, LA 59530",2014-06-05,67137,gthomas@example.org,285.774.6257,Spec_0 : BVtWzLvZJS,Spec_1 : tcVolxdHiG,5710847
Bell-Benjamin,1981,United States of America,Linda Barker,Karen Webb,"54771 Burns Park Suite 562
East Margaretshire, CA 49354",2004-10-06,93181,smithcarl@example.org,403-230-7201x5249,Spec_0 : EfLvDPJVBI,Spec_1 : mOwvUIBhhq,1368319
Deleon LLC,2019,Mozambique,Danielle Miller,Mark Robinson,"USCGC Osborne
FPO AP 13756",2020-08-28,91866,mariajohnson@example.com,+1-998-770-0796x39762,Spec_0 : EXzDJqZINd,Spec_1 : JGcKHZrxWC,6750243
Nicholson-Guzman,1982,Bahrain,Rachel Armstrong,Victoria Day,"810 Ritter Mews
Warnerfort, AL 83769",2017-01-04,39068,lpearson@example.net,+1-572-111-3071,Spec_0 : UaIyAixQcE,Spec_1 : QJhkRGmywQ,5377320
"Moore, Delacruz and Colon",2008,Kyrgyz Republic,Brian Ayala,Calvin Hardin,"76998 Rachel Creek Suite 702
Joannabury, NV 45563",2009-05-04,36255,pamela60@example.com,001-749-210-6300x7358,Spec_0 : pFEeRFRQsm,Spec_1 : nikApdVxgu,4150450
"Moran, Butler and Vasquez",1962,Maldives,Melissa Campbell,Bryan Flores,"6734 Christopher Mountains Apt. 623
Dawnhaven, NC 75863",2019-02-23,86700,ebutler@example.org,385-788-0346x87348,Spec_0 : UpIdACLmFD,Spec_1 : epDosLoyxa,3097601
"Young, Moore and Mckenzie",1983,Algeria,Alejandro Rivera,Corey Murphy,"22665 Jennifer Spring Apt. 091
North Breannachester, ID 89436",2011-11-01,13241,emilytaylor@example.com,001-554-564-3790,Spec_0 : yKQFeQAqGZ,Spec_1 : TfndJVRpmj,8503390
Mitchell-White,1947,United States Minor Outlying Islands,Renee Cook,Matthew Moran,"479 Joshua Views Suite 206
North Michaelstad, LA 80455",2004-10-04,49992,laurenross@example.net,001-029-012-0672x944,Spec_0 : GpvJDfGGvL,Spec_1 : huOSYaYgmI,3860875
"Farmer, Duffy and Solis",1967,Guinea-Bissau,Sara Ortega,April Houston,"0979 Mary Ways
West Davidfort, MI 62651",2018-05-01,98680,buckleybrandi@example.com,519.148.1005x62878,Spec_0 : ecAcAODSIF,Spec_1 : PaEKGTpwUX,9881880
Brown-Jones,1915,Croatia,Virginia Cohen,Victor Arroyo,"961 Diaz Row
South Michaelstad, AK 14351",2020-01-28,04693,mark84@example.net,791-459-2800x654,Spec_0 : jlfGZlITYt,Spec_1 : kLdvcWmchd,5576896
